Zeynep,Aydın,202000000,1.06,1,13,2,K
Emre,Aydın,202000001,3.37,3,82,3,E
Ayşe,Öztürk,202000002,1.99,4,95,4,K
Zeynep,Kaya,202000003,2.15,2,43,4,K
Elif,Öztürk,202000004,2.0,1,67,1,E
Ali,Şahin,202000005,2.35,1,56,4,E
Elif,Demir,202000006,2.75,1,89,1,E
Zeynep,Demir,202000007,2.14,4,89,2,K
Mehmet,Yılmaz,202000008,2.23,4,25,2,E
Zeynep,Aydın,202000009,2.06,2,53,4,E
Fatma,Yılmaz,202000010,2.21,1,84,3,K
Elif,Çelik,202000011,2.03,3,70,3,E
Elif,Çelik,202000012,1.62,4,61,2,E
Ahmet,Demir,202000013,2.37,1,30,4,E
Ali,Öztürk,202000014,1.81,4,54,2,E
Ayşe,Şahin,202000015,1.55,2,98,3,K
Mehmet,Kaya,202000016,1.46,4,93,1,K
Ali,Yıldız,202000017,1.1,2,71,1,E
Zeynep,Yıldız,202000018,3.21,2,67,1,E
Ahmet,Demir,202000019,1.29,1,42,3,E
Emre,Yıldız,202000020,3.13,2,1,3,E
Ali,Şahin,202000021,2.84,3,78,2,K
Zeynep,Yılmaz,202000022,2.73,3,27,4,E
Elif,Kaya,202000023,3.45,4,9,4,K
Ali,Öztürk,202000024,2.13,4,59,2,K
Ahmet,Şahin,202000025,3.11,4,97,2,E
Zeynep,Şahin,202000026,3.41,4,82,2,E
Fatma,Yıldız,202000027,3.16,2,94,2,E
Mehmet,Yıldız,202000028,2.93,4,100,4,K
Fatma,Yıldız,202000029,2.75,2,78,2,K
Ali,Çelik,202000030,1.51,1,63,2,K
Zeynep,Aydın,202000031,2.53,1,15,2,K
Zeynep,Şahin,202000032,2.29,2,8,2,K
Ayşe,Aydın,202000033,3.44,2,51,3,K
Ayşe,Yıldız,202000034,3.65,3,53,1,K
Zeynep,Aydın,202000035,1.26,4,38,4,K
Emre,Şahin,202000036,1.34,1,22,2,K
Ahmet,Şahin,202000037,3.19,3,58,2,K
Ayşe,Çelik,202000038,1.77,3,66,4,E
Elif,Yılmaz,202000039,3.22,1,73,1,E
Zeynep,Öztürk,202000040,2.57,4,55,1,K
Elif,Şahin,202000041,2.19,1,44,2,E
Zeynep,Kaya,202000042,3.54,4,69,4,K
Emre,Öztürk,202000043,1.84,2,36,4,K
Emre,Çelik,202000044,2.69,2,86,3,E
Ali,Yıldız,202000045,3.3,3,99,2,K
Elif,Aydın,202000046,3.51,2,18,3,E
Ali,Yıldız,202000047,2.63,4,59,1,K
Ayşe,Şahin,202000048,3.43,4,98,2,K
Zeynep,Çelik,202000049,1.14,1,68,4,K
Fatma,Kaya,202000050,3.83,4,53,2,E
Zeynep,Çelik,202000051,1.03,4,15,2,E
Ahmet,Yılmaz,202000052,2.14,3,12,4,E
Elif,Demir,202000053,3.78,3,65,2,K
Fatma,Şahin,202000054,3.43,3,30,4,K
Fatma,Yılmaz,202000055,1.07,2,18,3,K
Zeynep,Aydın,202000056,1.69,3,51,4,K
Elif,Kaya,202000057,1.98,2,99,3,E
Ahmet,Aydın,202000058,3.55,1,5,4,E
